feature,importance,pt
18,0.006577803,Abulia
19,0.021745048,Abulia
20,0.009955668,Abulia
21,0.02455023,Abulia
22,0.026556332,Abulia
23,0.0005639035,Abulia
24,0.08464346,Abulia
25,0.010057919,Abulia
0,0.027658055,Accident
1,0.0643444,Accident
2,0.0020879023,Accident
3,0.03278725,Accident
4,0.09152997,Accident
5,0.026052678,Accident
6,0.04110558,Accident
7,0.005557022,Accident
8,0.015146775,Accident
9,0.009217708,Accident
10,0.03057255,Accident
11,0.018339269,Accident
12,0.09052427,Accident
13,0.009402537,Accident
14,0.0021759628,Accident
15,0.032527167,Accident
16,0.02727137,Accident
17,0.03752249,Accident
18,0.000542847,Accident
19,0.027330237,Accident
20,0.051696092,Accident
21,0.008733421,Accident
22,0.10095527,Accident
23,0.1472411,Accident
24,0.0430767,Accident
25,0.05660132,Accident
0,0.027969921,Accident at work
1,0.008288707,Accident at work
2,0.027795015,Accident at work
3,0.0919377,Accident at work
4,0.09413878,Accident at work
5,0.008547237,Accident at work
6,0.010011086,Accident at work
7,0.011846185,Accident at work
8,0.015205558,Accident at work
9,0.14994653,Accident at work
10,0.00070671644,Accident at work
11,0.050105073,Accident at work
12,0.10147052,Accident at work
13,0.018367268,Accident at work
14,0.020797983,Accident at work
15,0.009188192,Accident at work
16,0.1608132,Accident at work
17,0.017421776,Accident at work
18,0.02305298,Accident at work
19,0.0124340495,Accident at work
20,0.0332181,Accident at work
21,0.03246574,Accident at work
22,0.036524553,Accident at work
23,0.00090248365,Accident at work
24,0.02159973,Accident at work
25,0.015244873,Accident at work
0,0.015503556,Accidental death
1,0.019098304,Accidental death
2,0.018242873,Accidental death
3,0.01695371,Accidental death
4,0.06082933,Accidental death
5,0.06877638,Accidental death
6,0.057225462,Accidental death
7,0.0553542,Accidental death
8,0.004225118,Accidental death
9,0.02571772,Accidental death
10,0.0014561089,Accidental death
11,0.010781794,Accidental death
12,0.05679035,Accidental death
13,0.058373857,Accidental death
14,0.01666111,Accidental death
15,0.04141203,Accidental death
16,0.12307838,Accidental death
17,0.016717408,Accidental death
18,0.048590306,Accidental death
19,0.044804577,Accidental death
20,0.043160886,Accidental death
21,0.024544798,Accidental death
22,0.1616463,Accidental death
23,0.0024442107,Accidental death
24,0.0030461466,Accidental death
25,0.004565077,Accidental death
0,0.03234416,Accidental exposure to product
1,0.03926985,Accidental exposure to product
2,0.020662073,Accidental exposure to product
3,0.020430842,Accidental exposure to product
4,0.08657655,Accidental exposure to product
5,0.037503213,Accidental exposure to product
6,0.018627293,Accidental exposure to product
7,0.036915008,Accidental exposure to product
8,0.019206652,Accidental exposure to product
9,0.07827855,Accidental exposure to product
10,0.031208208,Accidental exposure to product
11,0.013380286,Accidental exposure to product
12,0.121132866,Accidental exposure to product
13,0.008287538,Accidental exposure to product
14,0.0023147229,Accidental exposure to product
15,0.020342495,Accidental exposure to product
