feature,importance,pt
7,0.015678514,Accelerated hypertension
8,0.056545716,Accelerated hypertension
9,0.01585497,Accelerated hypertension
10,0.06900579,Accelerated hypertension
11,0.10394012,Accelerated hypertension
12,0.080572985,Accelerated hypertension
13,0.07198807,Accelerated hypertension
14,0.062030468,Accelerated hypertension
15,0.015133188,Accelerated hypertension
16,0.033980515,Accelerated hypertension
17,0.020179296,Accelerated hypertension
18,0.0355347,Accelerated hypertension
19,0.032030858,Accelerated hypertension
20,0.023295635,Accelerated hypertension
21,0.020838788,Accelerated hypertension
22,0.019007443,Accelerated hypertension
23,0.045886304,Accelerated hypertension
24,0.062432595,Accelerated hypertension
25,0.028673662,Accelerated hypertension
0,0.0,Acidosis hyperchloraemic
1,0.0520214,Acidosis hyperchloraemic
2,0.019669173,Acidosis hyperchloraemic
3,0.010659554,Acidosis hyperchloraemic
4,0.013568839,Acidosis hyperchloraemic
5,0.030284759,Acidosis hyperchloraemic
6,0.0,Acidosis hyperchloraemic
7,0.0882106,Acidosis hyperchloraemic
8,0.0,Acidosis hyperchloraemic
9,0.12049445,Acidosis hyperchloraemic
10,0.02071084,Acidosis hyperchloraemic
11,0.048270233,Acidosis hyperchloraemic
12,0.14389405,Acidosis hyperchloraemic
13,0.011299581,Acidosis hyperchloraemic
14,0.025128111,Acidosis hyperchloraemic
15,0.082883805,Acidosis hyperchloraemic
16,0.10174969,Acidosis hyperchloraemic
17,0.015271354,Acidosis hyperchloraemic
18,0.013989912,Acidosis hyperchloraemic
19,0.035030328,Acidosis hyperchloraemic
20,0.0,Acidosis hyperchloraemic
21,0.0,Acidosis hyperchloraemic
22,0.1267617,Acidosis hyperchloraemic
23,0.0,Acidosis hyperchloraemic
24,0.012353244,Acidosis hyperchloraemic
25,0.027748317,Acidosis hyperchloraemic
0,0.015605306,Acne cystic
1,0.09190541,Acne cystic
2,0.039100308,Acne cystic
3,0.0,Acne cystic
4,0.06003542,Acne cystic
5,0.03688485,Acne cystic
6,0.047507484,Acne cystic
7,0.037765622,Acne cystic
8,0.024249999,Acne cystic
9,0.05854561,Acne cystic
10,0.022339,Acne cystic
11,0.039366573,Acne cystic
12,0.031564035,Acne cystic
13,0.0,Acne cystic
14,0.06665891,Acne cystic
15,0.047511216,Acne cystic
16,0.022671882,Acne cystic
17,0.0,Acne cystic
18,0.0,Acne cystic
19,0.04591148,Acne cystic
20,0.02521675,Acne cystic
21,0.0,Acne cystic
22,0.079967305,Acne cystic
23,0.07067657,Acne cystic
24,0.0,Acne cystic
25,0.13651626,Acne cystic
0,0.04478777,Accidental poisoning
1,0.042211607,Accidental poisoning
2,0.040434267,Accidental poisoning
